"fipstate","fipscty","County Name","Mfg Emp 1989","Mfg Emp 1993","Mfg Emp 1997","Mfg Emp 2001","Mfg Emp 2005","Mfg Emp 2009","Mfg Emp 2013"
45,1,"Abbeville County, SC",3296,3698,3767,4132,2626,1995,2072
22,1,"Acadia Parish, LA",1709,2632,2397,2239,1190,1159,1333
51,1,"Accomack County, VA",3065,3407,3267,3263,3007,2500,2500
16,1,"Ada County, ID",14343,20362,22002,20512,19054,16569,16447
19,1,"Adair County, IA",326,373,499,571,663,250,250
21,1,"Adair County, KY",1106,1052,685,331,393,414,364
29,1,"Adair County, MO",1387,1802,1592,1249,1209,888,622
40,1,"Adair County, OK",1423,2130,1646,1855,975,1072,1000
8,1,"Adams County, CO",12031,12538,14617,13108,10848,9137,10606
19,3,"Adams County, IA",10,100,187,20,171,100,100
16,3,"Adams County, ID",154,263,184,20,48,20,100
17,1,"Adams County, IL",6117,5629,6307,5739,6242,4980,5616
18,1,"Adams County, IN",7401,5752,6733,5703,6057,4418,4426
28,1,"Adams County, MS",1890,2085,2413,1594,364,470,386
38,1,"Adams County, ND",14,10,10,10,10,10,10
31,1,"Adams County, NE",3206,3220,3603,3433,3184,3290,2363
39,1,"Adams County, OH",323,848,846,954,764,500,500
42,1,"Adams County, PA",7295,9188,9050,8880,7336,5981,5798
53,1,"Adams County, WA",1000,1061,1129,1294,1000,1000,1000
55,1,"Adams County, WI",394,389,510,474,469,447,416
50,1,"Addison County, VT",2581,2003,1949,2094,2106,1858,1397
45,3,"Aiken County, SC",19885,24681,20843,21367,17345,6964,6745
27,1,"Aitkin County, MN",309,387,435,597,405,334,324
12,1,"Alachua County, FL",5833,5110,5907,4466,3632,3631,3170
37,1,"Alamance County, NC",23678,23337,22031,19378,14980,10201,8912
6,1,"Alameda County, CA",84624,81338,99243,95807,76139,67122,60432
8,3,"Alamosa County, CO",90,105,152,82,83,92,100
36,1,"Albany County, NY",13954,11989,12505,9289,8939,7349,7509
56,1,"Albany County, WY",553,584,629,562,404,383,348
51,3,"Albemarle County, VA",2415,2115,2329,1506,1249,2699,2743
26,1,"Alcona County, MI",270,282,326,255,182,148,202
28,3,"Alcorn County, MS",5354,5410,5020,4686,2964,2690,2371
NA,NA,"Aleutians East Borough, AK",NA,1000,500,1000,1000,1000,1000
NA,NA,"Aleutians West Census Area, AK",NA,2736,2700,2462,2724,3316,3418
17,3,"Alexander County, IL",382,320,377,293,147,100,100
37,3,"Alexander County, NC",6034,5691,5481,5327,4178,3591,3238
51,510,"Alexandria city, VA",3519,2763,2428,1507,1516,1585,1118
40,3,"Alfalfa County, OK",20,45,20,20,20,20,20
26,3,"Alger County, MI",500,747,886,801,635,250,500
19,5,"Allamakee County, IA",1256,1306,1525,1670,1569,732,1207
26,5,"Allegan County, MI",12567,15929,17596,15849,14666,12048,12736
24,1,"Allegany County, MD",4033,4280,4452,4263,4322,2430,2511
36,3,"Allegany County, NY",3386,2696,3097,2467,2700,3187,2304
37,5,"Alleghany County, NC",1321,1379,1364,1029,653,500,250
51,5,"Alleghany County, VA",53,250,381,660,826,307,317
42,3,"Allegheny County, PA",82802,72042,70956,52469,42509,39751,36833
18,3,"Allen County, IN",41867,38085,38737,33058,29354,26485,25255
20,1,"Allen County, KS",1714,1622,1791,2081,1934,1835,1989
21,3,"Allen County, KY",1013,1555,1987,1724,809,250,100
39,3,"Allen County, OH",14924,12196,9713,10106,9654,7211,7051
22,3,"Allen Parish, LA",741,679,675,465,455,250,250
45,5,"Allendale County, SC",1130,1226,1563,1205,996,596,848
26,7,"Alpena County, MI",2248,2211,2343,2118,1898,1174,1161
6,3,"Alpine County, CA",10,NA,NA,NA,NA,NA,NA
6,5,"Amador County, CA",905,1030,1012,850,911,500,736
51,7,"Amelia County, VA",348,313,319,342,267,288,193
51,9,"Amherst County, VA",1191,1408,1753,1832,1591,1000,1276
28,5,"Amite County, MS",734,914,833,677,280,315,267
