"fipstate","fipscty","County Name, State","RegionID","RegionName","State","Metro","SizeRank","X1996.04","X1996.05","X1996.06","X1996.07","X1996.08","X1996.09","X1996.10","X1996.11","X1996.12","X1997.01","X1997.02","X1997.03","X1997.04","X1997.05","X1997.06","X1997.07","X1997.08","X1997.09","X1997.10","X1997.11","X1997.12","X1998.01","X1998.02","X1998.03","X1998.04","X1998.05","X1998.06","X1998.07","X1998.08","X1998.09","X1998.10","X1998.11","X1998.12","X1999.01","X1999.02","X1999.03","X1999.04","X1999.05","X1999.06","X1999.07","X1999.08","X1999.09","X1999.10","X1999.11","X1999.12","X2000.01","X2000.02","X2000.03","X2000.04","X2000.05","X2000.06","X2000.07","X2000.08","X2000.09","X2000.10","X2000.11","X2000.12","X2001.01","X2001.02","X2001.03","X2001.04","X2001.05","X2001.06","X2001.07","X2001.08","X2001.09","X2001.10","X2001.11","X2001.12","X2002.01","X2002.02","X2002.03","X2002.04","X2002.05","X2002.06","X2002.07","X2002.08","X2002.09","X2002.10","X2002.11","X2002.12","X2003.01","X2003.02","X2003.03","X2003.04","X2003.05","X2003.06","X2003.07","X2003.08","X2003.09","X2003.10","X2003.11","X2003.12","X2004.01","X2004.02","X2004.03","X2004.04","X2004.05","X2004.06","X2004.07","X2004.08","X2004.09","X2004.10","X2004.11","X2004.12","X2005.01","X2005.02","X2005.03","X2005.04","X2005.05","X2005.06","X2005.07","X2005.08","X2005.09","X2005.10","X2005.11","X2005.12","X2006.01","X2006.02","X2006.03","X2006.04","X2006.05","X2006.06","X2006.07","X2006.08","X2006.09","X2006.10","X2006.11","X2006.12","X2007.01","X2007.02","X2007.03","X2007.04","X2007.05","X2007.06","X2007.07","X2007.08","X2007.09","X2007.10","X2007.11","X2007.12","X2008.01","X2008.02","X2008.03","X2008.04","X2008.05","X2008.06","X2008.07","X2008.08","X2008.09","X2008.10","X2008.11","X2008.12","X2009.01","X2009.02","X2009.03","X2009.04","X2009.05","X2009.06","X2009.07","X2009.08","X2009.09","X2009.10","X2009.11","X2009.12","X2010.01","X2010.02","X2010.03","X2010.04","X2010.05","X2010.06","X2010.07","X2010.08","X2010.09","X2010.10","X2010.11","X2010.12","X2011.01","X2011.02","X2011.03","X2011.04","X2011.05","X2011.06","X2011.07","X2011.08","X2011.09","X2011.10","X2011.11","X2011.12","X2012.01","X2012.02","X2012.03","X2012.04","X2012.05","X2012.06","X2012.07","X2012.08","X2012.09","X2012.10","X2012.11","X2012.12","X2013.01","X2013.02","X2013.03","X2013.04","X2013.05","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","X2015.11","X2015.12","X2016.01"
1,115,"St. Clair County, AL",3121,"Saint Clair","AL","Birmingham",576,94100,94400,95100,95800,96000,96100,96600,98700,101600,103200,103800,104400,105000,105700,106600,107200,108200,110200,112000,112000,110600,109500,109200,109100,109100,109600,110000,110200,111200,112500,113100,114300,116000,117000,117500,118300,118900,119700,121000,122100,122600,122900,123300,123300,123000,122600,121900,121000,120300,119800,119600,120100,120000,119000,118700,118600,118600,118900,119500,119600,119900,119600,118800,118300,118300,118400,118800,119500,120200,121400,122500,123200,123300,124200,125600,126300,126200,126000,125800,125100,124300,123700,124100,125800,127700,127900,126400,125200,125400,125800,125600,125400,125900,126800,127200,127300,127300,127800,128700,129800,130600,131200,131800,132400,132800,133200,133700,134000,134200,135000,136300,137100,137500,138100,139300,140600,141800,142200,141700,141500,141800,142200,142600,143200,143700,144100,144400,144600,144600,144500,144400,144300,144200,143900,144000,144400,144900,145200,145200,145300,145300,145500,145400,144900,144400,144500,144300,143400,142400,141800,141200,140100,139300,139300,140000,140900,141800,142200,141800,141300,141100,141000,140900,140700,140300,140000,139500,138900,138000,136900,136200,136100,136000,135700,135500,135600,135600,135200,135100,135500,135800,135600,135400,135300,135300,135400,135400,135400,135700,135900,135900,135600,135100,134300,133900,134200,134600,134400,134000,133900,133800,133700,133500,133400,133900,135000,136300,137500,138500,139400,140500,141800,142800,143300,143700,144200,144600,144800,145100,145500,145800,146200,146700,147400,148100,149000,150000,150900,151200,152900,154700,154900,154300,154500,154600,154800,154900,154900
1,117,"Shelby County, AL",1381,"Shelby","AL","Birmingham",305,131400,130400,129200,128300,128000,127600,127100,126700,126600,126500,126400,126600,126900,127200,128000,128700,129000,129200,129500,129700,130100,131000,131700,131600,131500,131700,132000,132200,132200,132500,132700,133200,133900,134700,134800,134500,134300,134800,135300,135900,136400,136700,137300,138300,139700,141000,142200,143000,143800,143900,143300,142800,142600,142300,141900,141600,141500,141400,141700,142800,144000,145100,146300,147200,147500,147700,147800,147500,147100,147000,146900,147000,147600,148000,148400,149000,150100,150900,151800,153100,154500,155100,155800,156600,157700,158900,159700,159900,160700,162100,163100,163200,162700,162200,162200,161800,160600,160000,160500,161800,163300,165200,167000,168200,168800,169200,169200,169200,169700,170300,170600,170700,170600,170200,170300,171400,173400,175500,177400,179000,180000,180500,181100,181600,181800,181700,181600,181900,182200,182500,182500,182700,182900,183000,183000,183200,183300,182800,182400,182000,182100,182300,182600,183100,183400,183200,182500,181800,181200,180900,180600,179800,178500,177800,177700,178000,178700,179800,180900,181600,181800,182100,182400,182200,181800,182000,182100,181600,181000,179700,177800,176600,176400,176200,175700,175400,174800,173100,171100,169200,168200,168000,168300,168300,168000,167500,166900,166400,166500,166600,166200,165500,165000,164300,164000,164400,165100,165600,165900,165600,165000,164600,164900,165700,166200,166200,166700,167700,168300,168200,168700,169600,170900,172100,173400,174700,175900,176600,177000,177700,178300,178500,179000,179600,180000,180500,181200,181600,181300,183700,185300,183600,181500,182200,182300,182600,183300,183800
1,125,"Tuscaloosa County, AL",3043,"Tuscaloosa","AL","Tuscaloosa",307,101100,100600,101200,102100,102400,102000,101900,102200,102100,101500,100700,100400,100600,100400,99800,99500,99500,99400,99000,98700,98800,99300,99900,100800,101700,102300,102700,102900,103100,103600,104100,104200,104500,105000,105600,106000,106300,106700,107100,107300,107800,108400,109100,109900,110700,110800,110700,111100,111700,112100,112500,112700,113000,113300,113400,112800,112300,112400,113100,113700,114300,114700,114700,114500,114100,114100,114800,115700,116300,116800,116900,116800,116900,116900,116700,116800,116900,116200,115000,114100,113400,112900,112300,111600,110900,110500,110300,110800,111700,112800,114200,115800,117800,119800,121600,123100,124500,126000,127300,128600,130000,131200,131900,132500,132700,132500,132700,133700,134000,133600,133800,134100,133800,134300,135700,137000,137900,138700,139100,139600,140300,141500,142600,143100,143100,143400,143600,143700,144300,145300,146100,146300,146100,145600,145100,145000,145300,145100,143800,142200,140900,140100,139800,139700,140100,141000,141800,141800,141600,141600,142200,142100,141500,140500,139500,138300,137600,137500,137600,137900,138100,138100,138200,138500,138500,138000,137400,137400,137700,137300,136300,135100,134000,133100,132300,131800,131700,131800,131900,131900,131600,131500,131900,132500,132700,132800,132900,133300,133500,133600,133600,133100,132900,133100,133500,134100,134400,134300,134300,134900,135600,135800,136300,137500,138500,138700,138500,138200,138600,139100,139200,139100,140300,142700,144100,144500,144800,145400,145700,146500,147400,148400,149500,150200,149900,149800,151000,152600,153300,153100,153000,153000,153500,154200,155000,155900,156700,157400
1,3,"Baldwin County, AL",1525,"Baldwin","AL","Daphne",321,107500,108000,108900,109300,109900,110400,110800,111600,112500,113000,113500,114100,114000,113400,113900,114100,113100,112400,113000,114000,115700,117200,117900,118500,119200,119800,120500,121500,122900,124400,125600,126800,127900,128300,128200,128800,129800,130800,132000,132800,133600,133800,133100,132100,131300,130300,129700,130700,132500,133600,133500,133100,132800,133300,134300,134900,135600,137200,139400,140700,141100,141600,141700,140500,139600,139500,139900,140800,141500,141800,142100,142000,141500,141400,141800,142100,142500,143000,143300,143800,144700,146500,148100,148900,149500,150300,150400,149900,149400,148900,149000,149700,150100,149300,148900,150700,153400,154800,156800,161700,167200,170500,172300,173500,174300,175300,177000,178800,180400,182300,184800,187600,190500,193400,195600,197200,199900,203800,207000,208900,211100,213300,214500,214200,213700,214000,214500,214300,213800,212300,210000,208000,206600,206100,206000,205300,203400,201100,200200,199800,197700,194100,191800,190800,189700,187900,185700,184000,183100,182400,181600,181500,181400,180600,179000,176500,173100,169300,166200,163900,161900,160100,158600,156600,156300,158100,159700,160100,160300,160200,159900,159500,159100,159100,158900,157700,156000,155000,154300,153700,153300,153000,152300,151800,151600,151800,152400,153800,155500,157200,158900,160900,162500,163800,165600,167100,167800,167900,167700,167100,165900,164600,163400,162600,162500,163300,164300,165700,167400,169100,171000,173400,175800,177300,178800,179500,180300,182100,183800,183900,183600,183800,184400,185100,185500,185500,185500,186100,187100,188400,190000,191800,193400,193700,192800,192600,193000,193400
1,31,"Coffee County, AL",945,"Coffee","AL","Enterprise",759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139500,140900,142400,143400,143500,144400,145100,146300,147100,147500,146200,143100,140200,138500,137000,135100,132400,129700,126900,124900,124400,125700,127000,127200,127100,127800,128400,128600,128200,127100,125900,124900,123800,122900,121500,119200,118000,118200,119000,119800,119200,116300,113500,112000,111600,110300,111200,113900,115100,113900,113600,112600,111600,110900,110400,108500,105900,103700,102300,101500,102200,103900,106000,107900,108700,108600,109100,110200,110700,110400,109400,108200,107100,107400,107600,106400,104800,103800
1,43,"Cullman County, AL",1647,"Cullman","AL","Cullman",589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118900,112900,110000,109500,109700,109900,110000,110600,111200,112500,113600,114800,116300,117800,118500,119100,118200,116000,114100,113600,113400,113300,113200,114400,116900,119600,121700,123400,123700,123200,124300,126600,128100,129700,132800,136000,139100,143000,144500,144700,146400,145800,140400,135300,134000,134900,134700,132500,130000,127400,125800,125400,123100,118400,114900,113500,111500,108900,107000,106200,106700,108400,110600,112500,112900,112700,113000,114000,115200,116700,118100,119500,120800,121300,121700,122200,122000,121100
1,51,"Elmore County, AL",1003,"Elmore","AL","Montgomery",593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174900,173900,171500,169200,166700,163300,159300,156600,155900,155900,156400,156800,156300,155500,155800,153400,145700,136700,130200,125800,123000,121600,120300,118200,116700,116900,117900,119500,121200,122200,122600,123200,123900,124000,123700,122700,120600,118200,116600,115000,113400,112300,110400,108600,107900,107800,107200,110400,117400,122400,122900,124400,126500,127300,128600,128400,123600,117600,116200,117000,117200,116800,117200,117800,117900,117700,117600,118300,119800,125400,129600,127800,124300,124600,125200,126400,127100,126800
1,7,"Bibb County, AL",100,"Bibb","AL","Birmingham",984,70300,70300,71400,73600,75500,76300,76700,77200,77300,77000,76400,76300,76800,76700,76300,76500,76900,76800,76800,76900,77300,78500,80100,81400,82200,83100,83800,83800,83300,82900,82400,82700,83700,84300,84700,85200,86000,86600,86600,85900,85300,84700,84200,84400,84700,84800,85300,86300,87500,87700,87400,87400,87900,88100,88400,88600,88400,88000,88000,88700,89500,90000,90500,91000,91700,92400,92800,92800,92100,91500,91900,92300,91700,91400,91500,92100,92900,94000,95300,96800,98700,100000,99900,99200,98200,96400,94500,92200,89700,87500,85500,83700,82200,80500,77900,75000,72700,71900,72600,73600,74000,74400,74700,74900,75200,76300,78000,80100,82100,83600,84400,85200,86900,88800,90300,91100,91900,93100,94200,94700,95400,96400,96400,95600,95100,95800,97000,97600,97500,97000,97100,97400,97300,97600,99500,101100,101600,101200,100700,100900,101700,101700,101300,101500,103000,104200,104800,105500,105700,104900,104200,104300,103900,102500,101200,101300,101500,100300,97900,96400,96400,97100,97100,95900,94500,94100,94300,93600,92600,92600,93400,93900,93100,91600,90500,89900,89300,89100,89100,88900,88200,86900,85100,83900,83200,82500,82100,81800,81800,81800,82400,83100,83800,84800,86100,86100,85200,83800,82500,82600,83900,84900,86200,87500,88500,90000,92700,94900,94500,93900,94700,95100,95100,95500,95100,93400,91000,88700,87300,87100,87600,88200,88300,89200,92100,95200,94700,93100,93700,93500,89800,86800,88800,93900,98100,99000,97300,94900
1,73,"Jefferson County, AL",2732,"Jefferson","AL","Birmingham",90,72900,73000,73300,73600,73700,73700,73700,73800,73900,74000,74200,74500,75100,75500,75800,76200,76600,76900,77000,77100,77300,77800,78600,79100,79100,79100,79300,79800,80300,80700,81000,81300,81700,82000,82200,82600,83200,83700,83900,83900,84000,84600,85200,85400,85600,86000,86100,86200,86100,86100,86400,86800,86800,86800,87200,87900,88300,88500,88800,88900,88800,88900,88900,88700,88900,89400,89800,90300,90700,91200,91700,92400,92800,92800,93000,93300,93700,93900,94100,94000,94100,94300,94600,95000,95400,96100,96900,97700,98300,98600,99200,99900,100500,100500,100200,100200,100700,101300,101800,102100,102200,102100,102100,102100,102700,103500,104200,104900,105600,106300,106600,106900,107800,109000,109800,110300,110700,111500,112500,113500,114200,114600,114700,114800,114500,114100,114100,114500,114700,114700,114700,114600,114300,114100,114500,115600,116500,117200,117300,116700,116100,115800,115700,115300,115200,115600,115700,115100,114700,114200,113600,113400,113600,113600,113400,113000,112500,111900,111300,110900,110800,110900,110900,110800,110700,110300,109800,109500,109100,108300,107600,106800,105800,104800,104300,103800,102900,102200,101700,101200,100700,100500,100100,99500,99100,98700,97900,96900,96400,96500,96800,97200,97700,98000,98000,97900,97700,97400,97700,98700,99500,99600,99400,98900,98500,98800,99400,99900,100200,100600,100900,101100,101300,101300,100900,100400,100200,100200,100200,100200,100400,101100,102100,102300,102000,101900,102100,102400,102600,102800,103200,104300,105300,105500,105400,105700,106100,106400
1,89,"Madison County, AL",1894,"Madison","AL","Huntsville",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139100,138900,139200,139800,140600,141800,142700,143200,143400,143500,144200,145400,146400,146900,148000,149400,150800,151800,152500,153600,154600,155200,156300,157300,157600,157900,157100,155400,153900,152900,151900,151200,151300,151100,150600,151200,152400,152600,152800,154800,156600,157200,156900,156300,155300,154500,153600,152500,151900,151800,152000,152000,151600,151400,151600,151800,151900,151900,152000,151900,152100,152300,152100,151000,150100,149600,149600,149600,149400,149300,149100,148600,148100,147600,147200,147200,146900,146600,146700,146700,146500,146500,146300,146000,145700,145800,146000,146100,146200,146100,146000,146000,146000,145900,145900,145900,145900,145900,146000,146100,146000,146200,146400,146500,146300,146700,147300,147500,147000,146700,146800,147000,147300,147700,147900,148200,149000,149900,150300,150700,151300,151800,151800,151600,151600,151700,151800,151700
