fips,Name,fipstate,fipscty,State,County,1989,1993,1997,2001,2005,2009,2013
01001,"AL, Autauga County",01,001,AL,Autauga County, 26898, 30906, 36803, 42183, 45019, 53081, 51868
01003,"AL, Baldwin County",01,003,AL,Baldwin County, 24043, 29040, 35438, 40406, 42804, 48637, 47539
01005,"AL, Barbour County",01,005,AL,Barbour County, 18673, 22446, 25925, 25480, 29534, 28802, 30981
01007,"AL, Bibb County",01,007,AL,Bibb County, 19604, 22789, 28039, 31074, 34212, 38294, 39781
01009,"AL, Blount County",01,009,AL,Blount County, 24035, 27607, 32676, 36175, 40588, 41520, 44392
01011,"AL, Bullock County",01,011,AL,Bullock County, 13273, 15734, 20401, 20367, 21728, 24206, 25937
01013,"AL, Butler County",01,013,AL,Butler County, 16683, 19053, 22813, 25284, 28058, 27794, 31041
01015,"AL, Calhoun County",01,015,AL,Calhoun County, 23688, 26297, 30432, 31849, 35937, 37340, 37898
01017,"AL, Chambers County",01,017,AL,Chambers County, 21277, 24175, 28093, 29824, 31538, 30621, 33883
01019,"AL, Cherokee County",01,019,AL,Cherokee County, 21072, 24479, 28922, 30738, 33858, 38024, 37478
01021,"AL, Chilton County",01,021,AL,Chilton County, 21144, 24685, 30539, 32883, 36098, 38916, 41348
01023,"AL, Choctaw County",01,023,AL,Choctaw County, 18426, 20848, 24714, 25878, 27512, 31067, 33581
01025,"AL, Clarke County",01,025,AL,Clarke County, 20030, 22578, 26898, 28010, 29531, 32729, 34593
01027,"AL, Clay County",01,027,AL,Clay County, 19481, 22603, 26809, 28289, 33512, 34831, 33344
01029,"AL, Cleburne County",01,029,AL,Cleburne County, 22445, 24815, 29104, 31125, 34287, 37870, 40407
01031,"AL, Coffee County",01,031,AL,Coffee County, 25856, 28186, 31316, 33916, 37025, 43296, 44666
01033,"AL, Colbert County",01,033,AL,Colbert County, 21964, 25374, 31413, 32249, 35590, 37111, 40032
01035,"AL, Conecuh County",01,035,AL,Conecuh County, 16284, 19103, 22643, 23177, 24587, 26882, 27196
01037,"AL, Coosa County",01,037,AL,Coosa County, 19215, 22353, 26531, 29114, 31142, 34795, 35175
01039,"AL, Covington County",01,039,AL,Covington County, 18965, 21785, 25691, 27108, 30847, 32179, 35187
01041,"AL, Crenshaw County",01,041,AL,Crenshaw County, 15765, 19783, 23472, 26965, 29410, 31849, 34105
01043,"AL, Cullman County",01,043,AL,Cullman County, 22311, 26035, 30705, 32877, 36693, 37425, 40142
01045,"AL, Dale County",01,045,AL,Dale County, 23419, 27397, 30476, 31966, 36422, 41279, 41805
01047,"AL, Dallas County",01,047,AL,Dallas County, 15962, 18752, 23379, 24191, 24936, 27088, 27524
01049,"AL, DeKalb County",01,049,AL,DeKalb County, 20404, 23710, 27948, 30297, 31501, 33919, 36713
01051,"AL, Elmore County",01,051,AL,Elmore County, 25448, 29825, 35305, 40445, 45474, 50194, 51650
01053,"AL, Escambia County",01,053,AL,Escambia County, 19506, 22364, 25712, 28029, 30600, 31443, 33455
01055,"AL, Etowah County",01,055,AL,Etowah County, 22255, 24857, 28747, 30516, 32973, 38575, 38587
01057,"AL, Fayette County",01,057,AL,Fayette County, 21425, 23833, 28717, 29684, 31720, 34262, 35661
01059,"AL, Franklin County",01,059,AL,Franklin County, 19607, 22698, 26592, 27618, 29698, 32588, 33332
01061,"AL, Geneva County",01,061,AL,Geneva County, 19515, 23098, 26009, 26992, 29492, 31347, 35378
01063,"AL, Greene County",01,063,AL,Greene County, 12303, 14288, 17602, 20771, 22436, 26131, 25864
01065,"AL, Hale County",01,065,AL,Hale County, 12949, 16761, 20704, 25063, 27535, 30124, 33597
01067,"AL, Henry County",01,067,AL,Henry County, 20669, 24581, 28276, 30154, 33191, 35215, 41590
01069,"AL, Houston County",01,069,AL,Houston County, 24816, 28063, 32086, 34500, 37947, 38751, 39636
01071,"AL, Jackson County",01,071,AL,Jackson County, 23015, 26198, 30791, 32302, 32208, 35015, 37204
01073,"AL, Jefferson County",01,073,AL,Jefferson County, 24448, 28257, 35464, 37058, 41821, 43312, 45024
01075,"AL, Lamar County",01,075,AL,Lamar County, 21093, 23369, 26867, 28608, 30373, 31226, 36475
01077,"AL, Lauderdale County",01,077,AL,Lauderdale County, 23755, 28181, 33204, 33426, 33448, 39096, 43586
01079,"AL, Lawrence County",01,079,AL,Lawrence County, 21579, 25538, 31609, 33159, 37871, 36311, 40713
01081,"AL, Lee County",01,081,AL,Lee County, 23594, 27622, 31821, 32200, 35320, 37836, 44647
01083,"AL, Limestone County",01,083,AL,Limestone County, 26176, 31082, 35981, 38473, 40745, 46610, 50148
01085,"AL, Lowndes County",01,085,AL,Lowndes County, 13301, 16325, 20285, 23546, 25590, 28100, 29734
01087,"AL, Macon County",01,087,AL,Macon County, 15374, 18506, 21469, 21720, 23500, 26328, 29228
01089,"AL, Madison County",01,089,AL,Madison County, 33565, 39713, 43239, 46036, 50522, 57327, 58258
01091,"AL, Marengo County",01,091,AL,Marengo County, 18240, 21730, 25504, 27684, 29635, 31867, 33749
